TIGER OUTPUT ADDRESS,City,State,Zip,LON,LAT
23 N WEKIWA SPRINGS RD, APOPKA, FL,32703,-81.46794955,28.67943633
305 S HIGHLAND AVE, APOPKA, FL,32703,-81.50528699,28.67392872
204 S CENTRAL AVE, APOPKA, FL,32703,-81.51159065,28.67542279
2484 COBBLEFIELD CIR, APOPKA, FL,32703,-81.49238296,28.64240754
2505 E SEMORAN BLVD, APOPKA, FL,32703,-81.46473404,28.67302592
2334 E SEMORAN BLVD, APOPKA, FL,32703,-81.46834985,28.67274933
2295 E SEMORAN BLVD, APOPKA, FL,32703,-81.46830968,28.67306378
11184 S APOPKA VINELAND RD, ORLANDO, FL,32836,-81.50323548,28.40334231
8464 WINTER GARDEN VINELAND RD, ORLANDO, FL,32836,-81.55230393,28.44437856
11659 RUBY LAKE RD, ORLANDO, FL,32836,-81.50307079,28.39671475
11551 RUBY LAKE RD, ORLANDO, FL,32836,-81.50307896,28.39799608
11100 GALVIN DR, ORLANDO, FL,32837,-81.41692402,28.40817639
12601 BALCOMBE RD, ORLANDO, FL,32837,-81.39863059,28.38428024
13740 TOWN LOOP BLVD, ORLANDO, FL,32837,-81.42986791,28.36293336
12853 ENCLAVE DR, ORLANDO, FL,32837,-81.39936381,28.37736699
3010 HUNTER'S CREEK BLVD, ORLANDO, FL,32837,-81.41827274,28.35297041
11340 S ORANGE BLOSSOM TRL, ORLANDO, FL,32837,-81.40476536,28.40134778
5118 TERRA VISTA WAY, ORLANDO, FL,32837,-81.4558344,28.35978786
4124 W TOWN CENTER BLVD, ORLANDO, FL,32837,-81.42696254,28.36305448
12307 S ORANGE BLOSSOM TRL, ORLANDO, FL,32837,-81.40434483,28.3850842
2111 SPICE AVE, ORLANDO, FL,32837,-81.40659366,28.38957766
11513 S ORANGE BLOSSOM TRL, ORLANDO, FL,32837,-81.40443118,28.39933424
1900 CENTRAL FLORIDA PKWY, ORLANDO, FL,32837,-81.4009912,28.40674447
12050 CRYSTAL COMMERCE WAY, ORLANDO, FL,32837,-81.42652921,28.38933443
5343 ANSONIA CT, ORLANDO, FL,32839,-81.41263844,28.48470124
4050 QUEEN ANNE DR, ORLANDO, FL,32839,-81.4280086,28.47908049
1616 HONOUR RD, ORLANDO, FL,32839,-81.40130219,28.49072516
2035 LA DUE CT, ORLANDO, FL,32811,-81.44061667,28.5174983
1825 BUCHANAN BAY CIR, ORLANDO, FL,32839,-81.40840935,28.4931259
5151 RALEIGH ST, ORLANDO, FL,32811,-81.44787621,28.52781541
5516 S TEXAS AVE, ORLANDO, FL,32839,-81.40920657,28.47885997
4743 RALEIGH ST, ORLANDO, FL,32811,-81.44138931,28.52788413
5389 CONROY RD, ORLANDO, FL,32811,-81.45247155,28.49439801
101 CLARKE RD, OCOEE, FL,34761,-81.51732361,28.56860136
1878 ATTUCKS AVE, ORLANDO, FL,32811,-81.43149584,28.52001565
1610 N LAKEWOOD AVE, OCOEE, FL,34761,-81.54263237,28.58709403
